name,main role,off role,tier,division,LP,off role penalty
huzzl3,top,mid,diamond,3,0,0
zer0,fill,jungle,gold,2,0,0
rayan,top,mid,platinum,2,21,0
mikaj,fill,mid,master,1,1,0
zironic,fill,bot,bronze,2,59,0
mo,bot,jungle,master,1,1,0
z,fill,top,platinum,1,2,0
tikka,fill,mid,platinum,2,0,0
yyaen,fill,support,platinum,4,57,0
kharann,fill,mid,platinum,3,0,0
